q,que,kb_ids,new_refer,actual_send_answer,qwl02-cleaned-base,qwl02-cleaned-base-gpt35,qwl02-cleaned-chat,qwl02-cleaned-chat-gpt35,qwl02-cleaneddoc3,qwl02-cleaneddoc3-gpt35,qwl02-cleaneddoc8,qwl02-cleaneddoc8-gpt35,qwl02-cleandoc8-base,qwl02-cleandoc8-base_gpt35,qwl02-cleandoc8-base-pip3,qwl02-cleandoc8-base-pip3_gpt35,yil02-cleandoc-base,yil02-cleandoc-Chat-34B,yil02-cleandoc-Chat-34B_gpt35,qwl02,qwl02_gpt35,qwl02-cleaneddoc8-32b-base,qwl02-cleaneddoc8-32b-base_gpt35,qwl02-cleaneddoc8-32b-base-new,qwl02-cleaneddoc13-32b-base,qwl02-cleaneddoc18-32b-base,qwl02-cleaneddoc18-32b-base-cp12000,qwl02-cleaneddoc18-32b-base-cp15000,qwl02-cleaneddoc18-32b-base-cp18000
好了不跟你计较可以多些都结了。,"[{""role"":""user"",""content"":""给我补偿五块给你好评。""},{""role"":""assistant"",""content"":""实在抱歉亲这边权限只能2元呢""},{""role"":""user"",""content"":""那就给和给你吧。有没有运费险。""},{""role"":""assistant"",""content"":""有的""},{""role"":""user"",""content"":""我不愿到的了给我补偿点的了。""},{""role"":""user"",""content"":""两块钱不行太少了撒不少。""},{""role"":""assistant"",""content"":""实在抱歉亲这边权限只能2元呢""},{""role"":""user"",""content"":""好的给你好评。""},{""role"":""assistant"",""content"":""亲 抱歉呢""},{""role"":""user"",""content"":""好了不跟你计较可以多些都结了。""}]",18,"['问题：""可以,本来就那么点钱纠结也无意义"",答案：""亲,确认收货以后联系我们帮您处理哈""','问题：""你现在退多多钱包2元,到时候收后就不用麻烦了"",答案：""亲 原路返回的哦""','问题：""一共三包现在打开一包了也可以退吗？"",答案：""亲可以退剩下的哦""','问题：""你们不给也行,给退钱吧。"",答案：""商品寄回有专人处理""','问题：""我就半杯水加了四勺"",答案：""亲,你可以多放一些哦""']",你好 在的亲,亲，确认收货以后联系我们帮您处理哈~,0,谢谢理解亲,0,亲，确认收货以后联系我们帮您处理哈,0,好的亲,0,亲，确认收货以后联系我们帮您处理哈,0,亲，确认收货以后联系我们帮您处理哈,0,好的亲。已备注哈 这边给您申请2元可以吗亲。您看下退款退款退款，这边给您补偿的服务哈。您给您补偿2元可以吗。亲。如果说看到有评价退款，不满意的话，那可能是官方活动，不是本店活动，可以按步骤要求提交试一下哦。亲理解就可以。商品寄回。亲。商品寄回呢。亲。您申请退款哈亲。您看下哈亲。您看下哈。亲。您看下哈亲。您看下哈亲。您申请退,好的亲,0,亲 麻烦您先在订单上确认收货哦,0,亲，确认收货以后联系我们帮您处理哈,0,亲，确认收货以后联系我们帮您处理哈,好的亲,亲，确认收货以后联系我们帮您处理哈,好的亲,亲，确认收货以后联系我们帮您处理哈,亲，确认收货以后联系我们帮您处理哈
这有啥功效啊,"[{""role"":""assistant"",""content"":""很高兴为您服务,请问有什么可以帮您？""},{""role"":""user"",""content"":""这有啥功效啊""}]","45, 18","['问题：""什么功效啊"",答案：""亲,参考商品详情有介绍哈,都是对身体有益的配料""','问题：""主要是什么功效保健"",答案：""正常食品哈""','问题：""它有什么用途"",答案：""亲,就是普通食品哈""','问题：""有什么营养价值喝了有啥好处"",答案：""补钙的亲""','问题：""这是啥"",答案：""亲亲什么问题呢""']","亲,可以参考评论区看下哈",亲亲，它只是普通的食品哦，没有药物功效哦。,0,黄瓜籽粉中含有较为丰富的维生素、果糖、木糖、核黄素、硫胺素、钙元素等，适量服用可以帮助补充人体代谢所需的营养。,0,亲，参考商品详情有介绍哈，都是对身体有益的配料哦~,0,亲，我们的产品都是对身体有益的配料，可以补充钙质哦~,0,亲 只是普通的食品哦,0,亲亲，参考商品详情有介绍哈，都是对身体有益的配料哦。,0,亲，我们的商品都是近期生产的，具体的生产日期可以在商品上查看哦~,亲亲，就是普通食品哈,0,亲亲，参考商品详情有介绍哈，都是对身体有益的配料哦。,0,亲，这个产品是纯天然的，可以补钙哦~,0,亲亲，我们的黄瓜籽粉是纯天然的，可以补钙、美容、减肥哦~,亲，纯正黄瓜籽粉哈作用客服不清楚哈,亲，就是普通食品哈,亲，我们的燕麦片是普通食品，主要功效是补钙，可以促进骨骼生长哦~,亲，就是普通食品哈,亲，就是普通食品哈
芒果味和牛奶味的,"[{""role"":""user"",""content"":""芒果味和牛奶味的""}]","15, 18","['问题：""芒果味和牛奶味"",答案：""亲下单以后联系我们备注哈""','问题：""芒果味和牛奶味"",答案：""亲 您拍的这个选项不支持备注""','问题：""牛奶味和芒果味"",答案：""亲下单以后联系我们备注哈""','问题：""牛奶味,芒果味"",答案：""已备注""','问题：""牛奶和芒果味"",答案：""亲 已备注""']",已备注,亲，已备注哦~,1,亲，您拍的这个选项不支持备注哦~,0,亲，您拍的这个选项不支持备注哦~,0,亲，下单后联系客服备注哈,1,亲 您拍的这个选项不支持备注哦,0,亲，芒果味和牛奶味都可以备注哦，下单以后联系我们备注哈~,1,好的亲。已备注哦~,亲 已备注,1,亲 拍下随意搭配的选项后与我们联系给您备注,0,亲，芒果味和牛奶味的布丁粉已经备注好了哦~,1,亲，已备注哦~,亲，已备注哦~,亲，芒果味和牛奶味的已备注哦~,亲 已备注,亲，芒果味和牛奶味的已备注哦~,亲，芒果味和牛奶味的已备注哦~
"我之前买的放在床下了,结果一个月就张毛了","[{""role"":""user"",""content"":""常温下能放多久？""},{""role"":""assistant"",""content"":""亲,常温下可以储存1年哦~""},{""role"":""user"",""content"":""五星好评了""},{""role"":""assistant"",""content"":""感谢支持""},{""role"":""user"",""content"":""存放在冷藏可以吗？""},{""role"":""assistant"",""content"":""亲亲干燥阴凉处哈""},{""role"":""user"",""content"":""我之前买的放在床下了,结果一个月就张毛了""}]","17, 18","['问题：""我之前买的放在床下了,结果一个月就张毛了"",答案：""亲亲,不要放潮湿的地方一般都没事哈""','问题：""我之前买过"",答案：""亲 时间太长 看不到您的订单了""','问题：""买错了"",答案：""可以重拍哦~申请退款就可以的""','问题：""上次在别人家买的,半个月就发酶了,没有放冰箱里"",答案：""阴凉干燥通风处存放""','问题：""质量问题"",答案：""亲亲,我们的小麦胚芽零添加剂,发货前都是严格检查质量的哈。""']","亲亲,不要放潮湿的地方一般都没事哈",亲亲，不要放潮湿的地方一般都没事哈,1,亲亲，不要放潮湿的地方一般都没事哈。,1,亲亲，不要放潮湿的地方一般都没事哈,1,亲亲，不要放潮湿的地方一般都没事哈。,1,亲亲，不要放潮湿的地方一般都没事哈~,1,"亲亲,不要放潮湿的地方一般都没事哈",1,"亲，可能是机器搅拌的时候残留的，不影响食用的哦。
感谢您的添加白面，可以保存，没有色素哦。亲。质量会更好哈。亲。质量有专人处理的哈。
感谢您的添加白面的哈亲。已备注哈亲。商品寄回哈亲。商品寄回哈。亲。您放心哈亲。您看下哈。亲。给您补偿2元补偿可以吗。亲。质量有专人处理的哈亲。您看为了看下哈亲。您看下哈。亲。您看下哈亲。您看下哈。亲","亲亲,不要放潮湿的地方一般都没事哈",1,亲亲，不要放潮湿的地方一般都没事哈。,1,"亲亲,不要放潮湿的地方一般都没事哈。",1,"亲亲,不要放潮湿的地方一般都没事哈","亲亲,不要放潮湿的地方一般都没事哈。","亲亲,不要放潮湿的地方一般都没事哈。","亲亲,不要放潮湿的地方一般都没事哈。","亲亲,不要放潮湿的地方一般都没事哈。","亲亲,不要放潮湿的地方一般都没事哈。"
有没有椰奶冻的配料表？,"[{""role"":""assistant"",""content"":""很高兴为您服务,请问有什么可以帮您？""},{""role"":""user"",""content"":""有没有椰奶冻的配料表？""}]","18, 7","['问题：""商用批发怎么拍"",答案：""亲需要椰奶冻粉吗""','问题：""椰奶冻有教程吗"",答案：""亲 参考下哦""','问题：""有教程吗？椰奶冻的教程有吗？"",答案：""有的亲,我们这里有做法教程哦~""','问题：""问的是椰奶冻"",答案：""参考这个看下哈亲""','问题：""椰奶冻是咋煮的？有教程吗？"",答案：""亲,椰奶冻粉是免煮型的,只需要倒入沸水搅拌,静置冷却30分钟即可。""']","亲,客服这边暂时没有哈可以参考商品详情或者评论区看下哈",亲，客服这边暂时没有哈可以参考商品详情或者评论区看下哈,1,亲，客服这边暂时没有哈可以参考商品详情或者评论区看下哈,1,亲，客服这边暂时没有哈可以参考商品详情或者评论区看下哈,1,亲，我们的商品详情页有配料表哦，您可以参考一下。,1,亲，客服这边暂时没有哈可以参考商品详情或者评论区看下哈,1,亲，客服这边暂时没有哈可以参考商品详情或者评论区看下哈,1,"亲，我们的产品是纯天然的，没有添加任何色素哦。
不需要添加白面，颜色会变浅，可以保存哦。
可以申请退货退款，商品退回，可以申请退货退款哦。",亲 我们暂时也没有 您可以参考下评论区哦,1,亲，客服这边暂时没有哈可以参考商品详情或者评论区看下哈,1,亲，客服这边暂时没有哈可以参考商品详情或者评论区看下哈,1,亲 可以看评论区,亲 我们暂时也没有 可以参考下评论区哦,亲 可以看下评论区,亲 可以参考下评论区哦,亲 可以看下评论区哦,亲 可以看下评论区
拿理发哪里发,"[{""role"":""user"",""content"":""发什么快递？""},{""role"":""user"",""content"":""发什么快递？""},{""role"":""assistant"",""content"":""亲,发中通、极兔、邮政快递,仓库会选择适合您地区的快递发出呢。""},{""role"":""user"",""content"":""拿理发""},{""role"":""user"",""content"":""拿理发哪里发""}]","15, 18","['问题：""哪里发货"",答案：""亲,山东仓发货。""','问题：""哪里发货"",答案：""山东枣庄发货的亲""','问题：""哪里发货。"",答案：""山东枣庄发货的亲""','问题：""从哪里发货"",答案：""山东枣庄""','问题：""在哪领取"",答案：""拍完收到货联系我哦""']",山东枣庄发货的亲,亲，山东枣庄发货的亲。,1,亲，山东枣庄发货,0,"亲,山东枣庄发货",0,亲，山东枣庄发货的亲。,1,"亲,山东枣庄发货的亲。",1,"亲,山东枣庄发货的亲。",1,"亲，我们的商品都是近期生产的，具体的生产日期可以在商品上查看哦。
不支持指定快递哦。您看下哈亲。
仓库发货的亲。您看下哈亲。","亲,山东枣庄发货的亲。",1,"亲,山东枣庄发货",0,亲，山东枣庄发货的亲。,1,"亲,山东枣庄发货的亲。","亲,山东枣庄发货的亲。",山东枣庄发货的亲,亲，山东枣庄发货的亲。,"亲,山东枣庄发货",山东枣庄发货的亲
"老板,我要牛奶和芒果味的","[{""role"":""user"",""content"":""老板,我要牛奶和芒果味的""}]",18,"['问题：""老板,我要牛奶和芒果味的"",答案：""已备注""','问题：""我要芒果和草莓还有牛奶的"",答案：""三个口味吗""','问题：""牛奶和芒果味"",答案：""亲 已备注""','问题：""芒果味和牛奶味"",答案：""亲 您拍的这个选项不支持备注""','问题：""我要芒果味,和牛奶味的各一斤"",答案：""已备注""']",已备注,亲，已备注哦~,1,亲，已备注哦~,1,亲，已备注哦~,1,亲，已备注哦~,1,"亲,已备注哦~",1,亲，已备注哦~,1,好的亲。已备注哦~,亲 已备注,1,亲 已备注,1,亲，已备注哦~,1,亲 您拍的这个选项不支持备注,亲 已备注,亲 已备注,亲 已备注,亲 已备注,亲 已备注
我要芒果和巧克力的,"[{""role"":""user"",""content"":""老板,我要牛奶和芒果味的""},{""role"":""assistant"",""content"":""已备注""},{""role"":""user"",""content"":""啥时候发货啊""},{""role"":""assistant"",""content"":""亲,初六之后开始陆续按订单顺序发货,咱会尽快处理的哈""},{""role"":""user"",""content"":""老板""},{""role"":""user"",""content"":""错了""},{""role"":""assistant"",""content"":""你好 在的亲""},{""role"":""user"",""content"":""我要芒果和巧克力的""}]",18,"['问题：""我要芒果跟草莓味的"",答案：""备注了亲""','问题：""我要芒果和草莓还有牛奶的"",答案：""三个口味吗""','问题：""要芒果跟草莓"",答案：""亲 已备注""','问题：""我要芒果跟香芋味儿"",答案：""备注了亲""','问题：""我要芒果、草莓香芋味的"",答案：""只要三种？""']",已备注,亲 已备注,1,好的已备注,1,已备注,1,亲 已备注,1,"亲,已备注哦",1,已备注,1,"亲，我们的商品都是近期生产的，具体的生产日期可以在商品上查看哦。
感谢您的添加冰箱哦，直接和面，颜色会更好，我们会尽快为您安排发货的。
感谢您的理解哈亲。我们会尽快发货的哈亲。祝您放心的。亲。我们会尽快为您安排发货的。祝您放心哦。祝您购物愉快！祝您购物愉快！",亲 已备注,1,好的亲 备注了,1,已备注,1,亲，已备注哦~,已备注,亲，我要芒果和巧克力的,亲 已备注,亲，我要芒果和巧克力的,亲，我要芒果和巧克力的
碳水化合物是多少,"[{""role"":""user"",""content"":""看一下配料表""},{""role"":""assistant"",""content"":""亲,客服这边暂时没有哈可以参考商品详情或者评论区看下哈""},{""role"":""user"",""content"":""碳水化合物是多少""}]",18,"['问题：""含量多少"",答案：""可以参考商品详情看着啊""','问题：""多少钱"",答案：""亲 稍等 这边问下哦""','问题：""成份是？"",答案：""亲,客服这边暂时没有哈可以参考商品详情或者评论区看下哈""','问题：""净重多少？"",答案：""亲亲,500g哦~""','问题：""有哪些成分？"",答案：""亲我们这边没有实物 可以参考下评论区哦""']","亲,客服这边暂时没有哈可以参考商品详情或者评论区看下哈",亲，碳水化合物的含量可以参考商品详情或者评论区看下哈，客服这边没有哈。,1,亲，客服这边暂时没有哈可以参考商品详情或者评论区看下哈哦~,1,亲，客服这边暂时没有哈可以参考商品详情或者评论区看下哈,1,亲，客服这边暂时没有哈可以参考商品详情或者评论区看下哈哦。,1,亲，客服这边暂时没有哈可以参考商品详情或者评论区看下哈应该有哦,1,亲，客服这边暂时没有哈可以参考商品详情或者评论区看下哈哦~,1,"亲，我们的商品都是近期生产的，具体的生产日期可以在商品上查看哦~
感谢您的支持哈亲。您看下哈。亲。会尽快安排的哈亲。",亲 具体的可以看下评论区哦,1,亲，碳水化合物的含量可以参考商品详情哦~,1,亲可以参考商品详情看下哈,1,亲可以参考商品详情或者评论区看下哈,亲 我们这边没有实物 您可以参考下评论区哦,亲，客服这边暂时没有哈可以参考商品详情或者评论区看下哈,亲，碳水化合物是50g哦~,亲，客服这边暂时没有哈可以参考商品详情或者评论区看下哈,亲，客服这边暂时没有哈可以参考商品详情或者评论区看下哈
血糖高化合物高不能吃,"[{""role"":""user"",""content"":""看一下配料表""},{""role"":""assistant"",""content"":""亲,客服这边暂时没有哈可以参考商品详情或者评论区看下哈""},{""role"":""user"",""content"":""碳水化合物是多少""},{""role"":""assistant"",""content"":""亲,客服这边暂时没有哈可以参考商品详情或者评论区看下哈""},{""role"":""user"",""content"":""血糖高化合物高不能吃""}]",18,"['问题：""哦,血糖高多人能吃不"",答案：""建议咨询医生哈""','问题：""高血糖可以吃太甜了不能吃"",答案：""实在抱歉给您带来不好的体验,如果您实在不满意的话您可以申请退货退款,商品退回,有专人处理的哈。""','问题：""亲,糖尿病人吃,血糖升高？"",答案：""零添加蔗糖哈""','问题：""我们都是糖尿病人不能吃甜的"",答案：""亲 可以申请退货退款哦""','问题：""孩子糖尿病,不能吃带糖的"",答案：""亲 建议咨询医生哦""']",是的亲建议咨询医生哈,亲，建议咨询医生哦。,1,亲，建议您咨询医生后再做决定哦。,1,亲，建议咨询医生哈~,1,"实在抱歉给您带来不好的体验,如果您实在不满意的话您可以申请退货退款,商品退回,有专人处理的哈。",0,亲，建议咨询医生哈。,1,亲，建议您咨询医生哦~,1,"亲，可能是机器搅拌的时候残留的，不影响食用的哦。
感谢您的添加白面，颜色会更好，我们会尽快为您处理哦。
感谢您的支持哦。祝您申请2元。亲。感谢您的支持哈亲。我们会尽快安排的哈。感谢您的支持的哈亲。我们会尽快为您安排发货的哈亲。感谢您的支持的哈亲。您看为了看下哈亲。您看为了给您有个好的购物体验，给您补偿2元可以吗。如果说看到鼓励一下哦。亲。质量有专人处理。您看为了给您有个好的购物体验",亲 建议您咨询下医生哦,1,亲，建议在医生询问下食用哈,1,"亲,建议咨询医生哦~",1,亲，建议咨询医生哦~,亲，建议在医生建议下食用哈,亲，血糖高的人不建议吃哦,亲 建议您咨询下医生,亲，血糖高的人不建议吃哦,亲，血糖高的人不建议吃哦
还不发,"[{""role"":""user"",""content"":""好的""},{""role"":""assistant"",""content"":""感谢您的光临,祝您生活愉快,再见！""},{""role"":""user"",""content"":""谢谢合作余快""},{""role"":""assistant"",""content"":""�""},{""role"":""user"",""content"":""我已经拼单成功3天,能尽快帮我发货吗？""},{""role"":""assistant"",""content"":""亲亲,已经在陆续发货了,会尽快安排的哈""},{""role"":""user"",""content"":""我已经拼单成功3天,能尽快帮我发货吗？""},{""role"":""user"",""content"":""我已经拼单成功3天,能尽快帮我发货吗？""},{""role"":""assistant"",""content"":""亲亲会尽快安排的哈""},{""role"":""user"",""content"":""还不发""}]",18,"['问题：""不发货吗"",答案：""亲亲,正常48小时内发货呢""','问题：""怎么还没有发过来,着急用"",答案：""亲 稍等""','问题：""一说就补发补发到现在还没到呢"",答案：""亲 这边先查询下""','问题：""?还没到"",答案：""亲 这边催下快递""','问题：""怎么还没发货？"",答案：""亲 已经发出了哦""']",这边帮您催下,会尽快安排的哈，亲,1,会尽快安排的哈，亲,1,会尽快的哈,1,会尽快的哈,1,会尽快的哈,1,亲亲，已经在陆续发货了，会尽快安排的哈,1,"亲，很抱歉，我们会尽快为您发货哦~亲。我们会尽快安排发货的。
感谢您的支持指定哈亲。我们会尽快发货的哈。
亲，我们会尽快安排发货哦~","亲亲，已经在陆续发货了,会尽快安排的哈",1,"亲亲,已经在陆续发货了,会尽快安排的哈",0,"亲亲,会尽快的哈",1,会尽快的哈,亲亲，已经在陆续发货了，会尽快安排的哈,亲亲，已经在陆续发货了，会尽快安排的哈,"亲亲,已经在陆续发货了,会尽快安排的哈",亲亲，已经在陆续发货了，会尽快安排的哈,亲亲，已经在陆续发货了，会尽快安排的哈
你这是生还是熟,"[{""role"":""user"",""content"":""你这是生还是熟""}]",18,"['问题：""你这是生还是熟"",答案：""熟的亲""','问题：""你这是炒熟了的吗"",答案：""熟的哈""','问题：""生的熟的生的熟的"",答案：""熟的""','问题：""是熟的吗？"",答案：""亲,是的呢,我们的产品是熟的哦~""','问题：""炒熟的没有营养"",答案：""亲亲这个是熟的哦""']",熟的亲,亲，我们的产品是熟的哦~,1,亲，我们的产品是熟的哦~,1,亲亲，我们的产品是熟的哦~,1,熟的亲,1,亲，我们的产品是熟的哦~,1,亲，我们的产品是熟的哦~,1,亲，我们的商品都是近期生产的，具体的生产日期可以在商品上查看哦~祝您放心购买。祝您补偿2元呢。亲。质量都是一样的哦~亲。,亲，我们的产品是熟的哦~,1,熟的亲,1,亲，我们的产品是熟的哦~,1,熟的亲~,熟的亲,熟的亲~,熟的亲,亲，我们的产品是熟的哦~,熟的亲~
它有什么用途,"[{""role"":""user"",""content"":""你这是生还是熟""},{""role"":""assistant"",""content"":""熟的亲""},{""role"":""user"",""content"":""它有什么用途""}]",18,"['问题：""它有什么用途"",答案：""亲,就是普通食品哈""','问题：""怎么用"",答案：""冲泡即食哈亲""','问题：""怎么使用"",答案：""热水冲泡即可""','问题：""他还能用吗"",答案：""亲,可以使用的哈""','问题：""用不到"",答案：""实在抱歉给您带来不好的体验,如果您实在不满意的话您可以申请退货退款,商品退包邮退的哈。""']","亲,就是普通食品哈",就是普通的食品哈,1,亲，就是普通食品哈。,1,"亲,就是普通食品哈",1,"亲,就是普通食品哈",1,"亲,就是普通食品哈",1,亲，就是普通食品哈。,1,"亲，我们的商品都是近期生产的，具体的生产日期可以在商品上查看哦。
感谢您的支持哈亲。您看下哈。亲。您看下哈。亲。您看下哈。亲。您看下哈。亲。您看下哈。亲。您看下哈。亲。您看下哈。亲。",亲，就是普通食品哈,1,亲，就是普通食品哈。,1,亲，就是普通食品哈。,1,亲，就是普通食品哈,"亲,就是普通食品哈","亲,就是普通食品哈",亲，就是普通食品哈~,亲，就是普通食品哈,"亲,就是普通食品哈"
